t,DOWN,1510859097180
t,UP,1510859097256
h,DOWN,1510859097479
e,DOWN,1510859097555
h,UP,1510859097581
SPACE,DOWN,1510859097668
e,UP,1510859097749
SPACE,UP,1510859097862
q,DOWN,1510859098640
q,UP,1510859098750
u,DOWN,1510859098875
i,DOWN,1510859098944
u,UP,1510859099012
i,UP,1510859099074
c,DOWN,1510859099109
c,UP,1510859099233
k,DOWN,1510859099236
k,UP,1510859099324
SPACE,DOWN,1510859099370
SPACE,UP,1510859099578
b,DOWN,1510859100000
b,UP,1510859100086
r,DOWN,1510859100246
r,UP,1510859100359
o,DOWN,1510859100375
o,UP,1510859100519
w,DOWN,1510859100568
w,UP,1510859100705
n,DOWN,1510859100808
n,UP,1510859100924
SPACE,DOWN,1510859100962
SPACE,UP,1510859101139
f,DOWN,1510859101339
f,UP,1510859101453
o,DOWN,1510859101502
o,UP,1510859101628
x,DOWN,1510859101720
SPACE,DOWN,1510859101890
x,UP,1510859101920
SPACE,UP,1510859102079
j,DOWN,1510859102192
j,UP,1510859102250
u,DOWN,1510859102402
u,UP,1510859102478
m,DOWN,1510859102697
p,DOWN,1510859102824
m,UP,1510859102844
p,UP,1510859102985
e,DOWN,1510859103063
e,UP,1510859103117
d,DOWN,1510859103358
d,UP,1510859103559
SPACE,DOWN,1510859103647
SPACE,UP,1510859103813
o,DOWN,1510859103948
o,UP,1510859104057
v,DOWN,1510859104146
v,UP,1510859104263
e,DOWN,1510859104282
r,DOWN,1510859104419
e,UP,1510859104470
SPACE,DOWN,1510859104579
r,UP,1510859104651
SPACE,UP,1510859104773
t,DOWN,1510859104910
t,UP,1510859105028
h,DOWN,1510859105112
h,UP,1510859105219
e,DOWN,1510859105235
e,UP,1510859105448
l,DOWN,1510859105731
l,UP,1510859105829
a,DOWN,1510859106045
a,UP,1510859106120
z,DOWN,1510859106741
z,UP,1510859106866
y,DOWN,1510859106894
y,UP,1510859107007
SPACE,DOWN,1510859107108
SPACE,UP,1510859107295
d,DOWN,1510859107533
d,UP,1510859107686
o,DOWN,1510859107688
o,UP,1510859107792
g,DOWN,1510859107840
g,UP,1510859107944
