,DOWN ,1510858720734
t,DOWN ,1510858721431
t,UP ,1510858721530
,UP ,1510858721568
h,DOWN ,1510858721767
e,DOWN ,1510858721833
h,UP ,1510858721874
 ,DOWN ,1510858721946
e,UP ,1510858722030
 ,UP ,1510858722129
,DOWN ,1510858722146
q,DOWN ,1510858722362
q,UP ,1510858722423
,UP ,1510858722816
u,DOWN ,1510858723232
i,DOWN ,1510858723333
u,UP ,1510858723405
i,UP ,1510858723480
c,DOWN ,1510858723534
k,DOWN ,1510858723628
c,UP ,1510858723652
k,UP ,1510858723753
 ,DOWN ,1510858723789
 ,UP ,1510858723949
,DOWN ,1510858724006
b,DOWN ,1510858724127
b,UP ,1510858724235
,UP ,1510858724251
r,DOWN ,1510858724402
r,UP ,1510858724502
o,DOWN ,1510858724515
w,DOWN ,1510858724614
o,UP ,1510858724645
w,UP ,1510858724728
n,DOWN ,1510858724775
n,UP ,1510858724896
 ,DOWN ,1510858724898
 ,UP ,1510858725044
,DOWN ,1510858725089
f,DOWN ,1510858725299
f,UP ,1510858725412
,UP ,1510858725436
o,DOWN ,1510858725642
o,UP ,1510858725767
x,DOWN ,1510858725822
x,UP ,1510858725982
 ,DOWN ,1510858725984
 ,UP ,1510858726160
,DOWN ,1510858726355
j,DOWN ,1510858726801
j,UP ,1510858726897
,UP ,1510858726961
u,DOWN ,1510858727083
u,UP ,1510858727160
m,DOWN ,1510858727366
m,UP ,1510858727537
p,DOWN ,1510858727585
p,UP ,1510858727714
e,DOWN ,1510858727788
e,UP ,1510858727880
d,DOWN ,1510858727990
 ,DOWN ,1510858728100
d,UP ,1510858728191
,DOWN ,1510858728262
 ,UP ,1510858728286
o,DOWN ,1510858728473
,UP ,1510858728547
o,UP ,1510858728578
v,DOWN ,1510858728766
v,UP ,1510858728869
e,DOWN ,1510858729017
r,DOWN ,1510858729096
e,UP ,1510858729159
r,UP ,1510858729321
 ,DOWN ,1510858729324
 ,UP ,1510858729487
,DOWN ,1510858729566
t,DOWN ,1510858729783
t,UP ,1510858729823
,UP ,1510858729858
h,DOWN ,1510858730073
h,UP ,1510858730177
e,DOWN ,1510858730382
e,UP ,1510858730506
 ,DOWN ,1510858730652
 ,UP ,1510858730818
,DOWN ,1510858730841
l,DOWN ,1510858731359
l,UP ,1510858731458
,UP ,1510858731516
a,DOWN ,1510858732270
a,UP ,1510858732421
z,DOWN ,1510858733433
z,UP ,1510858733525
y,DOWN ,1510858733892
y,UP ,1510858734015
 ,DOWN ,1510858734052
 ,UP ,1510858734212
,DOWN ,1510858734277
,UP ,1510858734602
,DOWN ,1510858734934
d,DOWN ,1510858735128
d,UP ,1510858735253
,UP ,1510858735298
o,DOWN ,1510858735477
o,UP ,1510858735621
g,DOWN ,1510858735638
g,UP ,1510858735761
